student_id,study_hours,attendance,previous_score,current_score
1,7,50,65,60
2,4,60,76,58
3,8,77,65,67
4,5,74,62,54
5,7,99,48,69
6,3,72,51,48
7,7,80,40,66
8,8,79,40,75
9,5,91,86,77
10,4,84,73,62
11,8,56,71,70
12,8,65,87,73
13,3,75,64,54
14,6,97,79,75
15,5,98,84,76
16,2,51,40,31
17,8,50,55,66
18,6,97,78,84
19,2,61,44,39
20,5,54,61,57
21,1,86,68,54
22,6,81,42,59
23,9,58,51,70
24,1,90,65,51
25,3,84,55,54
26,7,68,90,72
27,4,97,76,68
28,9,65,61,76
29,3,52,68,55
30,5,69,53,61
31,3,73,67,65
32,7,82,44,62
33,5,73,86,72
34,9,60,88,81
35,7,98,69,89
36,2,57,85,47
37,4,85,44,51
38,9,87,51,74
39,2,89,55,41
40,9,69,65,74
41,5,84,65,61
42,2,97,87,64
43,4,74,60,58
44,7,84,78,86
45,8,74,75,81
46,3,78,72,54
47,1,67,69,40
48,4,95,76,70
49,2,67,62,40
50,8,51,49,71
51,4,84,44,60
52,2,65,75,48
53,6,90,73,64
54,6,85,70,77
55,4,82,49,55
56,6,53,58,63
57,2,82,71,46
58,2,63,40,36
59,4,70,44,50
60,8,97,84,87
61,7,69,43,59
62,9,57,55,73
63,8,56,63,62
64,5,52,55,51
65,2,66,41,41
66,5,82,88,74
67,8,97,67,85
68,9,61,71,70
69,9,100,66,78
70,1,71,59,49
71,9,71,63,78
72,7,95,51,68
73,9,79,89,94
74,8,87,74,81
75,1,87,72,58
76,8,94,72,82
77,8,100,90,99
78,3,57,82,62
79,1,76,76,48
80,8,76,51,75
81,3,83,42,53
82,3,70,40,52
83,1,79,72,44
84,5,82,79,72
85,7,77,49,71
86,9,96,82,81
87,7,82,83,72
88,9,54,68,62
89,8,97,52,75
90,2,68,51,47
91,1,53,70,48
92,7,84,85,79
93,7,98,41,78
94,8,66,90,72
95,5,93,89,66
96,3,77,74,57
97,8,79,62,76
98,6,78,56,64
99,3,95,65,50
100,1,55,47,34
101,3,84,68,51
102,5,90,65,70
103,3,86,49,54
104,1,73,65,41
105,5,78,73,63
106,7,98,90,79
107,7,95,80,80
108,9,80,46,79
109,3,84,43,45
110,7,82,89,82
111,1,70,84,48
112,4,81,50,51
113,4,72,68,57
114,5,82,75,62
115,7,52,64,60
116,7,67,60,60
117,4,74,75,71
118,7,91,49,70
119,3,80,76,55
120,6,52,48,55
121,2,89,63,53
122,9,95,74,86
123,5,73,88,71
124,6,99,74,80
125,4,81,87,64
126,7,96,75,76
127,9,71,57,73
128,7,72,88,64
129,1,51,78,35
130,1,76,71,55
131,9,91,63,90
132,9,51,62,69
133,4,75,71,63
134,9,66,76,80
135,3,89,51,69
136,7,82,88,85
137,6,58,52,56
138,8,92,62,73
139,9,97,64,76
140,5,88,74,70
141,1,78,80,48
142,3,91,69,53
143,8,75,56,68
144,6,84,88,70
145,8,99,59,88
146,9,74,87,89
147,4,73,64,57
148,1,62,61,48
149,1,56,52,37
150,4,85,58,55
151,7,94,88,90
152,2,69,75,54
153,3,50,51,37
154,1,57,80,44
155,5,95,58,62
156,1,65,51,32
157,8,63,48,70
158,1,61,46,46
159,1,100,67,47
160,2,72,53,48
161,2,64,70,45
162,6,77,58,62
163,7,83,86,76
164,5,51,55,47
165,1,81,44,42
166,1,72,74,44
167,3,71,51,50
168,2,100,64,57
169,5,74,60,59
170,6,71,75,63
171,7,71,62,65
172,4,98,55,66
173,7,91,78,81
174,8,55,84,69
175,1,64,81,48
176,6,92,78,79
177,8,86,53,65
178,5,82,70,68
179,4,57,44,43
180,2,93,74,61
181,6,93,62,67
182,6,54,68,52
183,1,88,82,47
184,9,53,50,67
185,6,55,57,59
186,3,94,86,61
187,4,81,51,59
188,4,79,48,46
189,3,96,49,55
190,3,84,83,56
191,3,89,56,52
192,4,65,77,59
193,7,62,46,56
194,4,99,85,69
195,9,91,52,84
196,1,79,79,49
197,8,68,81,81
198,7,66,48,57
199,2,68,89,58
200,8,77,66,82
